title,category,summary,authors
Mirror Natural Evolution Strategies,Machine Learning,"The zeroth-order optimization has been widely used in machine learning
applications. However, the theoretical study of the zeroth-order optimization
focus on the algorithms which approximate (first-order) gradients using
(zeroth-order) function value difference at a random direction. The theory of
algorithms which approximate the gradient and Hessian information by
zeroth-order queries is much less studied. In this paper, we focus on the
theory of zeroth-order optimization which utilizes both the first-order and
second-order information approximated by the zeroth-order queries. We first
propose a novel reparameterized objective function with parameters $(\mu,
\Sigma)$. This reparameterized objective function achieves its optimum at the
minimizer and the Hessian inverse of the original objective function
respectively, but with small perturbations. Accordingly, we propose a new
algorithm to minimize our proposed reparameterized objective, which we call
\texttt{MiNES} (mirror descent natural evolution strategy). We show that the
estimated covariance matrix of \texttt{MiNES} converges to the inverse of
Hessian matrix of the objective function with a convergence rate
$\widetilde{\mathcal{O}}(1/k)$, where $k$ is the iteration number and
$\widetilde{\mathcal{O}}(\cdot)$ hides the constant and $\log$ terms. We also
provide the explicit convergence rate of \texttt{MiNES} and how the covariance
matrix promotes the convergence rate.",['Haishan Ye']
Extensions and Limitations of the Neural GPU,Neural and Evolutionary Computing,"The Neural GPU is a recent model that can learn algorithms such as
multi-digit binary addition and binary multiplication in a way that generalizes
to inputs of arbitrary length. We show that there are two simple ways of
improving the performance of the Neural GPU: by carefully designing a
curriculum, and by increasing model size. The latter requires a memory
efficient implementation, as a naive implementation of the Neural GPU is memory
intensive. We find that these techniques increase the set of algorithmic
problems that can be solved by the Neural GPU: we have been able to learn to
perform all the arithmetic operations (and generalize to arbitrarily long
numbers) when the arguments are given in the decimal representation (which,
surprisingly, has not been possible before). We have also been able to train
the Neural GPU to evaluate long arithmetic expressions with multiple operands
that require respecting the precedence order of the operands, although these
have succeeded only in their binary representation, and not with perfect
accuracy.
  In addition, we gain insight into the Neural GPU by investigating its failure
modes. We find that Neural GPUs that correctly generalize to arbitrarily long
numbers still fail to compute the correct answer on highly-symmetric, atypical
inputs: for example, a Neural GPU that achieves near-perfect generalization on
decimal multiplication of up to 100-digit long numbers can fail on
$000000\dots002 \times 000000\dots002$ while succeeding at $2 \times 2$. These
failure modes are reminiscent of adversarial examples.","['Eric Price', 'Wojciech Zaremba', 'Ilya Sutskever']"
"Deep Reinforcement Learning for Orienteering Problems Based on
  Decomposition",Neural and Evolutionary Computing,"This paper presents a new method for solving an orienteering problem (OP) by
breaking it down into two parts: a knapsack problem (KP) and a traveling
salesman problem (TSP). A KP solver is responsible for picking nodes, while a
TSP solver is responsible for designing the proper path and assisting the KP
solver in judging constraint violations. To address constraints, we propose a
dual-population coevolutionary algorithm (DPCA) as the KP solver, which
simultaneously maintains both feasible and infeasible populations. A dynamic
pointer network (DYPN) is introduced as the TSP solver, which takes city
locations as inputs and immediately outputs a permutation of nodes. The model,
which is trained by reinforcement learning, can capture both the structural and
dynamic patterns of the given problem. The model can generalize to other
instances with different scales and distributions. Experimental results show
that the proposed algorithm can outperform conventional approaches in terms of
training, inference, and generalization ability.","['Wei Liu', 'Tao Zhang', 'Rui Wang', 'Kaiwen Li', 'Wenhua Li', 'Kang Yang']"
"Language Generation with Recurrent Generative Adversarial Networks
  without Pre-training",Computation and Language (Natural Language Processing),"Generative Adversarial Networks (GANs) have shown great promise recently in
image generation. Training GANs for language generation has proven to be more
difficult, because of the non-differentiable nature of generating text with
recurrent neural networks. Consequently, past work has either resorted to
pre-training with maximum-likelihood or used convolutional networks for
generation. In this work, we show that recurrent neural networks can be trained
to generate text with GANs from scratch using curriculum learning, by slowly
teaching the model to generate sequences of increasing and variable length. We
empirically show that our approach vastly improves the quality of generated
sequences compared to a convolutional baseline.","['Ofir Press', 'Amir Bar', 'Ben Bogin', 'Jonathan Berant', 'Lior Wolf']"
"Learning Hierarchical Object Maps Of Non-Stationary Environments with
  mobile robots",Machine Learning,"Building models, or maps, of robot environments is a highly active research
area; however, most existing techniques construct unstructured maps and assume
static environments. In this paper, we present an algorithm for learning object
models of non-stationary objects found in office-type environments. Our
algorithm exploits the fact that many objects found in office environments look
alike (e.g., chairs, recycling bins). It does so through a two-level
hierarchical representation, which links individual objects with generic shape
templates of object classes. We derive an approximate EM algorithm for learning
shape parameters at both levels of the hierarchy, using local occupancy grid
maps for representing shape. Additionally, we develop a Bayesian model
selection algorithm that enables the robot to estimate the total number of
objects and object templates in the environment. Experimental results using a
real robot equipped with a laser range finder indicate that our approach
performs well at learning object-based maps of simple office environments. The
approach outperforms a previously developed non-hierarchical algorithm that
models objects but lacks class templates.","['Dragomir Anguelov', 'Rahul Biswas', 'Daphne Koller', 'Benson Limketkai', 'Sebastian Thrun']"
"An Enhanced Harmony Search Method for Bangla Handwritten Character
  Recognition Using Region Sampling",Computer Vision and Pattern Recognition,"Identification of minimum number of local regions of a handwritten character
image, containing well-defined discriminating features which are sufficient for
a minimal but complete description of the character is a challenging task. A
new region selection technique based on the idea of an enhanced Harmony Search
methodology has been proposed here. The powerful framework of Harmony Search
has been utilized to search the region space and detect only the most
informative regions for correctly recognizing the handwritten character. The
proposed method has been tested on handwritten samples of Bangla Basic,
Compound and mixed (Basic and Compound characters) characters separately with
SVM based classifier using a longest run based feature-set obtained from the
image subregions formed by a CG based quad-tree partitioning approach. Applying
this methodology on the above mentioned three types of datasets, respectively
43.75%, 12.5% and 37.5% gains have been achieved in terms of region reduction
and 2.3%, 0.6% and 1.2% gains have been achieved in terms of recognition
accuracy. The results show a sizeable reduction in the minimal number of
descriptive regions as well a significant increase in recognition accuracy for
all the datasets using the proposed technique. Thus the time and cost related
to feature extraction is decreased without dampening the corresponding
recognition accuracy.","['Ritesh Sarkhel', 'Amit K Saha', 'Nibaran Das']"
Tuned Compositional Feature Replays for Efficient Stream Learning,Computer Vision and Pattern Recognition,"Our brains extract durable, generalizable knowledge from transient
experiences of the world. Artificial neural networks come nowhere close to this
ability. When tasked with learning to classify objects by training on
non-repeating video frames in temporal order (online stream learning), models
that learn well from shuffled datasets catastrophically forget old knowledge
upon learning new stimuli. We propose a new continual learning algorithm,
Compositional Replay Using Memory Blocks (CRUMB), which mitigates forgetting by
replaying feature maps reconstructed by combining generic parts. CRUMB
concatenates trainable and re-usable ""memory block"" vectors to compositionally
reconstruct feature map tensors in convolutional neural networks. Storing the
indices of memory blocks used to reconstruct new stimuli enables memories of
the stimuli to be replayed during later tasks. This reconstruction mechanism
also primes the neural network to minimize catastrophic forgetting by biasing
it towards attending to information about object shapes more than information
about image textures, and stabilizes the network during stream learning by
providing a shared feature-level basis for all training examples. These
properties allow CRUMB to outperform an otherwise identical algorithm that
stores and replays raw images, while occupying only 3.6% as much memory. We
stress-tested CRUMB alongside 13 competing methods on 7 challenging datasets.
To address the limited number of existing online stream learning datasets, we
introduce 2 new benchmarks by adapting existing datasets for stream learning.
With only 3.7-4.1% as much memory and 15-43% as much runtime, CRUMB mitigates
catastrophic forgetting more effectively than the state-of-the-art. Our code is
available at https://github.com/MorganBDT/crumb.git.","['Morgan B. Talbot', 'Rushikesh Zawar', 'Rohil Badkundri', 'Mengmi Zhang', 'Gabriel Kreiman']"
"Stratified Labeling for Surface Consistent Parallax Correction and
  Occlusion Completion",Computer Vision and Pattern Recognition,"The light field faithfully records the spatial and angular configurations of
the scene, which facilitates a wide range of imaging possibilities. In this
work, we propose an LF synthesis algorithm which renders high quality novel LF
views far outside the range of angular baselines of the given references. A
stratified synthesis strategy is adopted which parses the scene content based
on stratified disparity layers and across a varying range of spatial
granularities. Such a stratified methodology proves to help preserve scene
structures over large perspective shifts, and it provides informative clues for
inferring the textures of occluded regions. A generative-adversarial network
model is further adopted for parallax correction and occlusion completion
conditioned on the stratified synthesis features. Experiments show that our
proposed model can provide more reliable novel view synthesis quality at large
baseline extension ratios. Over 3dB quality improvement has been achieved
against state-of-the-art LF view synthesis algorithms.","['Jie Chen', 'Lap-Pui Chau', 'Junhui Hou']"
Video Generation with Consistency Tuning,Computer Vision and Pattern Recognition,"Currently, various studies have been exploring generation of long videos.
However, the generated frames in these videos often exhibit jitter and noise.
Therefore, in order to generate the videos without these noise, we propose a
novel framework composed of four modules: separate tuning module, average
fusion module, combined tuning module, and inter-frame consistency module. By
applying our newly proposed modules subsequently, the consistency of the
background and foreground in each video frames is optimized. Besides, the
experimental results demonstrate that videos generated by our method exhibit a
high quality in comparison of the state-of-the-art methods.","['Chaoyi Wang', 'Yaozhe Song', 'Yafeng Zhang', 'Jun Pei', 'Lijie Xia', 'Jianpo Liu']"
"A Comprehensive Comparison of Machine Learning Based Methods Used in
  Bengali Question Classification",Computation and Language (Natural Language Processing),"QA classification system maps questions asked by humans to an appropriate
answer category. A sound question classification (QC) system model is the
pre-requisite of a sound QA system. This work demonstrates phases of assembling
a QA type classification model. We present a comprehensive comparison
(performance and computational complexity) among some machine learning based
approaches used in QC for Bengali language.","['Afra Anika', 'Md. Hasibur Rahman', 'Salekul Islam', 'Abu Shafin Mohammad Mahdee Jameel', 'Chowdhury Rafeed Rahman']"
Border-Peeling Clustering,Computer Vision and Pattern Recognition,"In this paper, we present a novel non-parametric clustering technique. Our
technique is based on the notion that each latent cluster is comprised of
layers that surround its core, where the external layers, or border points,
implicitly separate the clusters. Unlike previous techniques, such as DBSCAN,
where the cores of the clusters are defined directly by their densities, here
the latent cores are revealed by a progressive peeling of the border points.
Analyzing the density of the local neighborhoods allows identifying the border
points and associating them with points of inner layers. We show that the
peeling process adapts to the local densities and characteristics to
successfully separate adjacent clusters (of possibly different densities). We
extensively tested our technique on large sets of labeled data, including
high-dimensional datasets of deep features that were trained by a convolutional
neural network. We show that our technique is competitive to other
state-of-the-art non-parametric methods using a fixed set of parameters
throughout the experiments.","['Hadar Averbuch-Elor', 'Nadav Bar', 'Daniel Cohen-Or']"
Neural Architecture Codesign for Fast Bragg Peak Analysis,Machine Learning,"We develop an automated pipeline to streamline neural architecture codesign
for fast, real-time Bragg peak analysis in high-energy diffraction microscopy.
Traditional approaches, notably pseudo-Voigt fitting, demand significant
computational resources, prompting interest in deep learning models for more
efficient solutions. Our method employs neural architecture search and AutoML
to enhance these models, including hardware costs, leading to the discovery of
more hardware-efficient neural architectures. Our results match the
performance, while achieving a 13$\times$ reduction in bit operations compared
to the previous state-of-the-art. We show further speedup through model
compression techniques such as quantization-aware-training and neural network
pruning. Additionally, our hierarchical search space provides greater
flexibility in optimization, which can easily extend to other tasks and
domains.","['Luke McDermott', 'Jason Weitz', 'Dmitri Demler', 'Daniel Cummings', 'Nhan Tran', 'Javier Duarte']"
"Federated Learning Algorithms for Generalized Mixed-effects Model (GLMM)
  on Horizontally Partitioned Data from Distributed Sources",Machine Learning (Statistics),"Objectives: This paper develops two algorithms to achieve federated
generalized linear mixed effect models (GLMM), and compares the developed
model's outcomes with each other, as well as that from the standard R package
(`lme4').
  Methods: The log-likelihood function of GLMM is approximated by two numerical
methods (Laplace approximation and Gaussian Hermite approximation), which
supports federated decomposition of GLMM to bring computation to data.
  Results: Our developed method can handle GLMM to accommodate hierarchical
data with multiple non-independent levels of observations in a federated
setting. The experiment results demonstrate comparable (Laplace) and superior
(Gaussian-Hermite) performances with simulated and real-world data.
  Conclusion: We developed and compared federated GLMMs with different
approximations, which can support researchers in analyzing biomedical data to
accommodate mixed effects and address non-independence due to hierarchical
structures (i.e., institutes, region, country, etc.).","['Wentao Li', 'Jiayi Tong', 'Md. Monowar Anjum', 'Noman Mohammed', 'Yong Chen', 'Xiaoqian Jiang']"
"Tuning a Multiple Classifier System for Side Effect Discovery using
  Genetic Algorithms",Machine Learning,"In previous work, a novel supervised framework implementing a binary
classifier was presented that obtained excellent results for side effect
discovery. Interestingly, unique side effects were identified when different
binary classifiers were used within the framework, prompting the investigation
of applying a multiple classifier system. In this paper we investigate tuning a
side effect multiple classifying system using genetic algorithms. The results
of this research show that the novel framework implementing a multiple
classifying system trained using genetic algorithms can obtain a higher partial
area under the receiver operating characteristic curve than implementing a
single classifier. Furthermore, the framework is able to detect side effects
efficiently and obtains a low false positive rate.","['Jenna M. Reps', 'Uwe Aickelin', 'Jonathan M. Garibaldi']"
Memory-Augmented Relation Network for Few-Shot Learning,Computer Vision and Pattern Recognition,"Metric-based few-shot learning methods concentrate on learning transferable
feature embedding that generalizes well from seen categories to unseen
categories under the supervision of limited number of labelled instances.
However, most of them treat each individual instance in the working context
separately without considering its relationships with the others. In this work,
we investigate a new metric-learning method, Memory-Augmented Relation Network
(MRN), to explicitly exploit these relationships. In particular, for an
instance, we choose the samples that are visually similar from the working
context, and perform weighted information propagation to attentively aggregate
helpful information from the chosen ones to enhance its representation. In MRN,
we also formulate the distance metric as a learnable relation module which
learns to compare for similarity measurement, and augment the working context
with memory slots, both contributing to its generality. We empirically
demonstrate that MRN yields significant improvement over its ancestor and
achieves competitive or even better performance when compared with other
few-shot learning approaches on the two major benchmark datasets, i.e.
miniImagenet and tieredImagenet.","['Jun He', 'Richang Hong', 'Xueliang Liu', 'Mingliang Xu', 'Zhengjun Zha', 'Meng Wang']"
Detect All Abuse! Toward Universal Abusive Language Detection Models,Computation and Language (Natural Language Processing),"Online abusive language detection (ALD) has become a societal issue of
increasing importance in recent years. Several previous works in online ALD
focused on solving a single abusive language problem in a single domain, like
Twitter, and have not been successfully transferable to the general ALD task or
domain. In this paper, we introduce a new generic ALD framework, MACAS, which
is capable of addressing several types of ALD tasks across different domains.
Our generic framework covers multi-aspect abusive language embeddings that
represent the target and content aspects of abusive language and applies a
textual graph embedding that analyses the user's linguistic behaviour. Then, we
propose and use the cross-attention gate flow mechanism to embrace multiple
aspects of abusive language. Quantitative and qualitative evaluation results
show that our ALD algorithm rivals or exceeds the six state-of-the-art ALD
algorithms across seven ALD datasets covering multiple aspects of abusive
language and different online community domains.","['Kunze Wang', 'Dong Lu', 'Soyeon Caren Han', 'Siqu Long', 'Josiah Poon']"
"Uncertainty Decomposition in Bayesian Neural Networks with Latent
  Variables",Machine Learning (Statistics),"Bayesian neural networks (BNNs) with latent variables are probabilistic
models which can automatically identify complex stochastic patterns in the
data. We describe and study in these models a decomposition of predictive
uncertainty into its epistemic and aleatoric components. First, we show how
such a decomposition arises naturally in a Bayesian active learning scenario by
following an information theoretic approach. Second, we use a similar
decomposition to develop a novel risk sensitive objective for safe
reinforcement learning (RL). This objective minimizes the effect of model bias
in environments whose stochastic dynamics are described by BNNs with latent
variables. Our experiments illustrate the usefulness of the resulting
decomposition in active learning and safe RL settings.","['Stefan Depeweg', 'José Miguel Hernández-Lobato', 'Finale Doshi-Velez', 'Steffen Udluft']"
Order Embeddings from Merged Ontologies using Sketching,Computation and Language (Natural Language Processing),"We give a simple, low resource method to produce order embeddings from
ontologies. Such embeddings map words to vectors so that order relations on the
words, such as hypernymy/hyponymy, are represented in a direct way. Our method
uses sketching techniques, in particular countsketch, for dimensionality
reduction. We also study methods to merge ontologies, in particular those in
medical domains, so that order relations are preserved. We give computational
results for medical ontologies and for wordnet, showing that our merging
techniques are effective and our embedding yields an accurate representation in
both generic and specialised domains.","['Kenneth L. Clarkson', 'Sanjana Sahayaraj']"
"Kernel Density Feature Points Estimator for Content-Based Image
  Retrieval",Computer Vision and Pattern Recognition,"Research is taking place to find effective algorithms for content-based image
representation and description. There is a substantial amount of algorithms
available that use visual features (color, shape, texture). Shape feature has
attracted much attention from researchers that there are many shape
representation and description algorithms in literature. These shape image
representation and description algorithms are usually not application
independent or robust, making them undesirable for generic shape description.
This paper presents an object shape representation using Kernel Density Feature
Points Estimator (KDFPE). In this method, the density of feature points within
defined rings around the centroid of the image is obtained. The KDFPE is then
applied to the vector of the image. KDFPE is invariant to translation, scale
and rotation. This method of image representation shows improved retrieval rate
when compared to Density Histogram Feature Points (DHFP) method. Analytic
analysis is done to justify our method, which was compared with the DHFP to
prove its robustness.","['Tranos Zuva', 'Oludayo O. Olugbara', 'Sunday O. Ojo', 'Seleman M. Ngwira']"
Contextual Feature Selection with Conditional Stochastic Gates,Machine Learning,"Feature selection is a crucial tool in machine learning and is widely applied
across various scientific disciplines. Traditional supervised methods generally
identify a universal set of informative features for the entire population.
However, feature relevance often varies with context, while the context itself
may not directly affect the outcome variable. Here, we propose a novel
architecture for contextual feature selection where the subset of selected
features is conditioned on the value of context variables. Our new approach,
Conditional Stochastic Gates (c-STG), models the importance of features using
conditional Bernoulli variables whose parameters are predicted based on
contextual variables. We introduce a hypernetwork that maps context variables
to feature selection parameters to learn the context-dependent gates along with
a prediction model. We further present a theoretical analysis of our model,
indicating that it can improve performance and flexibility over
population-level methods in complex feature selection settings. Finally, we
conduct an extensive benchmark using simulated and real-world datasets across
multiple domains demonstrating that c-STG can lead to improved feature
selection capabilities while enhancing prediction accuracy and
interpretability.","['Ram Dyuthi Sristi', 'Ofir Lindenbaum', 'Shira Lifshitz', 'Maria Lavzin', 'Jackie Schiller', 'Gal Mishne', 'Hadas Benisty']"
Improving and Benchmarking Offline Reinforcement Learning Algorithms,Machine Learning,"Recently, Offline Reinforcement Learning (RL) has achieved remarkable
progress with the emergence of various algorithms and datasets. However, these
methods usually focus on algorithmic advancements, ignoring that many low-level
implementation choices considerably influence or even drive the final
performance. As a result, it becomes hard to attribute the progress in Offline
RL as these choices are not sufficiently discussed and aligned in the
literature. In addition, papers focusing on a dataset (e.g., D4RL) often ignore
algorithms proposed on another dataset (e.g., RL Unplugged), causing isolation
among the algorithms, which might slow down the overall progress. Therefore,
this work aims to bridge the gaps caused by low-level choices and datasets. To
this end, we empirically investigate 20 implementation choices using three
representative algorithms (i.e., CQL, CRR, and IQL) and present a guidebook for
choosing implementations. Following the guidebook, we find two variants CRR+
and CQL+ , achieving new state-of-the-art on D4RL. Moreover, we benchmark eight
popular offline RL algorithms across datasets under unified training and
evaluation framework. The findings are inspiring: the success of a learning
paradigm severely depends on the data distribution, and some previous
conclusions are biased by the dataset used. Our code is available at
https://github.com/sail-sg/offbench.","['Bingyi Kang', 'Xiao Ma', 'Yirui Wang', 'Yang Yue', 'Shuicheng Yan']"
